ky	Kyrgyz	Kipchak
la	Latin	Italic
lb	Luxembourgish	West Germanic
lg	Luganda	Nyoro-Ganda
li	Limburgish	West Germanic
ln	Lingala	Bangi-Moi
lo	Lao	Southwestern Tai
lt	Lithuanian	Baltic
lu	Luba-Katanga	Luba
lv	Latvian	Baltic
mg	Malagasy	East Barito
mh	Marshallese	Micronesian
mi	Maori	Eastern Polynesian
mk	Macedonian	South Slavic
ml	Malayalam	Dravidian
mn	Mongolian	Mongolic
mr	Marathi	Southern Indo-Aryan
ms	Malay	Malayic
mt	Maltese	Arabic
my	Burmese	Burmish
na	Nauruan	Micronesian
nb	Norwegian Bokmål	North Germanic
nd	Northern Ndebele	Nguni
ne	Nepali	Pahari
ng	Ndonga	Ovambo
nl	Dutch	West Germanic
nn	Norwegian Nynorsk	North Germanic
no	Norwegian	North Germanic
nr	Southern Ndebele	Nguni
nv	Navajo	Apachean
ny	Chichewa	Nyasa
oc	Occitan	Romance
oj	Ojibwe	Algonquian
om	Oromo	Cushitic
or	Oriya	Eastern Indo-Aryan
os	Ossetian	Scythian
pa	Punjabi	Punjabi-Lahnda
pi	Pali	Middle Indo-Aryan
pl	Polish	Lechitic
ps	Pashto	Pathan
pt	Portuguese	West Iberian
qu	Quechua	Quechuan
rm	Romansch	Rhaeto-Romance
ro	Romanian	Eastern Romance
ru	Russian	East Slavic
rw	Rwanda-Rundi	Great Lakes Bantu
sa	Sanskrit	Old Indo-Aryan
sc	Sardinian	Romance
sd	Sindhi	Sindhi
se	Northern Sami	Sami
sg	Sango	creole or pidgin
sh	Serbo-Croatian	South Slavic
si	Sinhalese	Insular Indo-Aryan
sk	Slovak	West Slavic
sl	Slovene	South Slavic
sm	Samoan	Nuclear Polynesian
sn	Shona	Shona
so	Somali	Cushitic
sq	Albanian	Albanian
ss	Swazi	Nguni
st	Sotho	Sotho-Tswana
su	Sundanese	Malayo-Sumbawan
sv	Swedish	North Germanic
sw	Swahili	Swahili
ta	Tamil	Dravidian
te	Telugu	Dravidian
tg	Tajik	Southwestern Iranian
th	Thai	Southwestern Tai
ti	Tigrinya	Ethiopian Semitic
tk	Turkmen	Oghuz
tl	Tagalog	Philippine
tn	Tswana	Sotho-Tswana
to	Tongan	Polynesian
tr	Turkish	Oghuz
ts	Tsonga	Tswa-Ronga
tt	Tatar	Kipchak-Bulgar
ty	Tahitian	Eastern Polynesian
ug	Uyghur	Karluk
uk	Ukrainian	East Slavic
ur	Urdu	Hindustani
uz	Uzbek	Karluk
ve	Venda	Southern Bantu
vi	Vietnamese	Vietic
vo	Volapük	constructed
wa	Walloon	Oïl
wo	Wolof	Fula-Wolof
xh	Xhosa	Nguni
yi	Yiddish	West Germanic
yo	Yoruba	Yoruboid
za	Zhuang	Tai
zh	Chinese	Sinitic
zu	Zulu	Nguni
aaa	Ghotuo	Yekhee
aab	Alumu-Tesu,Alumu,Tesu	Alumic
aac	Ari	Papuan Gulf
aad	Amal,Alai	Iwam
aaf	Aranadan	Dravidian
aag	Ambrak	Torricelli
aah	Abu' Arapesh,Abu',Ua	Torricelli
aai	Arifama-Miniafia,Arifama,Miniafia	Western Oceanic
aak	Ankave	Trans-New Guinea
aal	Afade	Central Chadic
aan	Anambé	Tupi-Guarani
aap	Pará Arára,Arára	Cariban
aaq	Penobscot,Eastern Abenaki,Eastern Abnaki	Abenaki-Penobscot
aas	Aasax,Aasáx,Asa,Aramanik,Laramanik	Cushitic
aau	Abau	Sepik
aaw	Solong,Arove,Arawe	Western Oceanic
aax	Mandobo Atas	Trans-New Guinea
aaz	Amarasi	Timoric
aba	Abé	Lagoon
abb	Bankon,Abo,Bo,Abaw,Miang,Mandouka	Basaa
abc	Ambala Ayta	Philippine
abd	Camarines Norte Agta,Manide	Philippine
abe	Abenaki,Western Abenaki,Abnaki,Western Abnaki	Abenaki-Penobscot
abf	Abai Sungai	Sabahan
abg	Abaga	Kainantu-Goroka
abh	Tajiki Arabic	Arabic
abi	Abidji	Lagoon
abj	Aka-Bea,Bea,Aka-Bea-da,Akabeada,Aka-Bia,Bia,Aka-Bia-da,Akabiada,Bojingiji	Southern Great Andamanese
abl	Abung,Pepadun,Lampung Nyo	Lampungic
abm	Abanyom	Ekoid
abn	Abua	Central Delta
abo	Abon	Northern Tivoid
abp	Abenlen Ayta	Philippine
abq	Abaza	Abkhaz-Abaza
abr	Abron,Brong	Central Tano
abs	Ambonese Malay	creole or pidgin
abt	Ambulas	Sepik
abu	Abure	Potou-Tano
abv	Baharna Arabic	Arabic
abw	Pal	Madang
abx	Inabaknon	Sama-Bajaw
aby	Aneme Wake	Trans-New Guinea
abz	Abui	Timor-Alor-Pantar
aca	Achagua	Arawakan
acb	Áncá	Momo
acd	Gikyode	Guang
ace	Acehnese	Chamic
ach	Acholi	Southern Luo
aci	Aka-Cari,Cari,Aka-Kari,Kari,Chariar	Northern Great Andamanese
ack	Aka-Kora,Kora	Northern Great Andamanese
acl	Akar-Bale,Bale,Bele,Akar-Bele,Balawa,Balwa,Bojingiji	Southern Great Andamanese
acm	Iraqi Arabic	Arabic
acn	Achang,Xiandao,Ngochang,Ngachang	Burmish
acp	Eastern Acipa	Kamuku
acr	Achi,Achí,Achi Maya,Cubulco Achi,Cubulco Achí,Cubulco Achi'	Mayan
acs	Acroá	Central Jê
acu	Achuar,Achuar-Shiwiar	Jivaroan
acv	Achumawi	Palaihnihan
acw	Hijazi Arabic	Arabic
acx	Omani Arabic	Arabic
acy	Cypriot Arabic	Arabic
acz	Acheron	Talodi
ada	Adangme	Ga-Dangme
adb	Adabe	
add	Dzodinka,Lidzonka	Nkambe
ade	Adele	Na-Togo
adf	Dhofari Arabic	Arabic
adg	Andegerebinha	Pama-Nyungan
adh	Adhola	Southern Luo
adi	Adi,Abor,Ashing,Minyong,Mising,Padam,Panggi,Pasi,Shimong,Ajukru	Tani
adj	Adioukrou	Lagoon
adl	Galo,Gallong	Tani
adn	Adang	Timor-Alor-Pantar
ado	Abu,Adjora	Ramu
adp	Adap	Tibetic
adq	Adangbe,Agotime	Ga-Dangme
adr	Adonara	Central-Eastern Malayo-Polynesian
ads	Adamorobe Sign Language	sign
adt	Adnyamathanha	Southwest Pama-Nyungan
adu	Aduge	Northwestern Edoid
adw	Amondawa	Tupi-Guarani
ady	Adyghe,West Circassian	Circassian
adz	Adzera	Western Oceanic
aea	Areba	Pama-Nyungan
aeb	Tunisian Arabic	Arabic
aed	Argentine Sign Language	sign
aee	Northeast Pashayi,Northeast Pashai,Pashai	Dardic
aek	Haeke	New Caledonian
ael	Ambele	Grassfields
aem	Arem	Vietic
aen	Armenian Sign Language	sign
aeq	Aer	Western Indo-Aryan
aer	Eastern Arrernte	Pama-Nyungan
aes	Alsea,Yaquina,Yakwina,Alseya,Yakona	
aeu	Akeu,Chepya	Loloish
aew	Ambakich,Aion,Porapora	Ramu
aey	Amele	Madang
aez	Aeka,Aiga,Orokaiva	Trans-New Guinea
afb	Gulf Arabic	Arabic
afd	Andai	Arafundi
afe	Putukwam	Bendi
afg	Afghan Sign Language	sign
afh	Afrihili	constructed
afi	Akrukay	Ramu
afk	Nanubae	Arafundi
afn	Defaka	Niger-Congo
afo	Eloyi	Plateau
afp	Tapei	Arafundi
afs	Afro-Seminole Creole	creole or pidgin
aft	Afitti,Affiti,Ditti	Nyima
afu	Awutu	Guang
afz	Obokuitai	Lakes Plain
aga	Aguano	
agb	Legbo	East-West Upper Cross River
agc	Agatu	Idomoid
agd	Agarabi	Kainantu-Goroka
age	Angal	Engan
agf	Arguni	Central-Eastern Malayo-Polynesian
agg	Angor	Papuan
agh	Ngelima	Bati-Angba
agi	Agariya	Munda
agj	Argobba	Ethiopian Semitic
agk	Isarog Agta	Philippine
agl	Fembe,Agala	Trans-New Guinea
agm	Angaataha	Trans-New Guinea
agn	Agutaynen	Kalamian
ago	Tainae	Trans-New Guinea
agq	Aghem	Western Ring
agr	Aguaruna	Jivaroan
ags	Esimbi	Southern Bantoid
agt	Central Cagayan Agta	Philippine
agu	Aguacateca	Mayan
agv	Remontado Agta,Remontado Dumagat,Sinauna,Hatang Kayey	Philippine
agw	Kahua	Southeast Solomonic
agx	Aghul	Lezghian
agy	Southern Alta	Philippine
agz	Mount Iriga Agta	Philippine
aha	Ahanta	Central Tano
ahb	Axamb	North-Central Vanuatu
ahg	Qimant	Cushitic
ahh	Aghu	Trans-New Guinea
ahi	Tiagbamrin Aizi	Aizi
ahk	Akha	Loloish
ahl	Igo	Ka-Togo
ahm	Mobumrin Aizi	Aizi
ahn	Àhàn	Ayere-Ahan
aho	Ahom	Southwestern Tai
ahp	Aproumu Aizi	Kwa
ahr	Ahirani,Khandeshi,Khandesi	Western Indo-Aryan
ahs	Ashe	Central Plateau
aht	Ahtna	North Athabaskan
aia	Arosi	Southeast Solomonic
aib	Aynu,Ainu,Äynu,Ainu (China),Aini,Eyni,Ejnu,Abdal,Äynú	Karluk
aic	Ainbai	Border
aid	Alngith	Paman
aie	Amara	Western Oceanic
aif	Agi	Torricelli
aig	Antigua and Barbuda Creole English,Leeward Caribbean Creole English,Antiguan Creole English,Kokoy Creole English,Saint Kitts Creole,Montserrat Creole,Anguillan Creole	creole or pidgin
aih	Ai-Cham	Kam-Sui
aii	Assyrian Neo-Aramaic	Northeastern Neo-Aramaic
aij	Lishanid Noshan	Northeastern Neo-Aramaic
aik	Ake	South Plateau
ail	Aimele	Trans-New Guinea
aim	Aimol	Kukish
ain	Ainu	isolate
aio	Aiton	Southwestern Tai
aip	Burumakok	Ok
air	Airoran	Tor-Kwerba
ait	Arikem	Tupian
aiw	Aari	Aroid
aix	Aighon	Western Oceanic
aiy	Ali	Eastern Gbaya
aja	Aja	Birri-Kresh
ajg	Adja	Gbe
aji	Ajië,Houailou	New Caledonian
ajn	Andajin	Worrorran
ajp	South Levantine Arabic	Arabic
ajt	Judeo-Tunisian Arabic	Arabic
aju	Judeo-Moroccan Arabic	Arabic
ajw	Ajawa	West Chadic
ajz	Amri Karbi	Kukish
akb	Angkola Batak	Batak
akc	Mpur	West Papuan
akd	Ukpet-Ehom	Upper Cross River
ake	Akawaio	Cariban
akf	Akpa	Idomoid
akg	Anakalangu	Central-Eastern Malayo-Polynesian
akh	Angal Heneng	Engan
aki	Aiome	Papuan
akj	Jeru,Aka-Jeru	Northern Great Andamanese
akk	Akkadian	East Semitic
akl	Aklanon,Aklan,Akeanon	Philippine
akm	Aka-Bo,Ba,Bo	Northern Great Andamanese
ako	Akurio	Cariban
akp	Siwu	Na-Togo
akq	Ak	Papuan
akr	Araki	North-Central Vanuatu
aks	Akaselem,Tchamba,Akasele,Tsamba	Gurma
akt	Akolet	Western Oceanic
aku	Akum	Yukubenic
akv	Akhvakh	Avaro-Andian
akw	Akwa	Mboshi
akx	Aka-Kede,Kede	Central Great Andamanese
aky	Aka-Kol,Kol,Kawl,Aka-Kawl,Bojingiji	Central Great Andamanese
akz	Alabama	Muskogean
ala	Alago	Idomoid
alc	Kawésqar,Qawasqar,Alacaluf	Alacalufan
ald	Alladian,Alladyan,Allagian,Alaguian	Lagoon
ale	Aleut	Eskimo-Aleut
alf	Alege	Bendi
alh	Alawa	Gunwinyguan
ali	Amaimon	Madang
alj	Alangan	Philippine
alk	Alak	Mon-Khmer
all	Allar,Chatan	Dravidian
alm	Amblong	North-Central Vanuatu
alo	Larike-Wakasihu	Central Maluku
alp	Alune	Central-Eastern Malayo-Polynesian
alq	Algonquin	Algonquian
alr	Alutor	Chukotko-Kamchatkan
alt	Southern Altai	Siberian Turkic
alu	'Are'are	Southeast Solomonic
alw	Alaba,Alaba-K'abeena,Alaaba,K'abeena	Cushitic
alx	Amol	Torricelli
aly	Alyawarr	Pama-Nyungan
alz	Alur	Southern Luo
ama	Amanayé	Tupi-Guarani
amb	Ambo	Northern Tivoid
amc	Amahuaca	Panoan
ame	Yanesha',Amuesha	Arawakan
amf	Hamer-Banna	Aroid
amg	Amurdag,Amarag	Iwaidjan
ami	Amis,Nataoran Amis	Austronesian
amj	Amdang,Biltine,Mimi	Fur
amk	Ambai,Wadapi-Laut	Halmahera-Cenderawasih
aml	War-Jaintia	Khasian
amm	Ama	Left May
amn	Amanab	Border
amo	Amo,Timap,Map,Among,Amap,Amon	East Kainji
amp	Alamblak	Papuan
amq	Amahai	Central Maluku
amr	Amarakaeri	Harákmbut
ams	Southern Amami-Oshima	Ryukyuan
amt	Amto	Arai-Samaia
amu	Guerrero Amuzgo,Amuzgo,Xochistlahuaca Amuzgo,Northern Amuzgo,Southern Amuzgo	Oto-Manguean
amv	Ambelau	Central Maluku
amw	Western Neo-Aramaic	Western Aramaic
amx	Anmatyerre,Namfau	Pama-Nyungan
amy	Ami,Ame,Amijangal	Daly
amz	Atampaya	Pama-Nyungan
ana	Andaqui	
anb	Andoa,Shimigae,Semigae,Gae,Gay,Gaye,Siaviri,Katsakáti	Zaparoan
anc	Ngas,Angas,Angass,Hill Ngas,Plain Ngas,Hill Angas,Plain Angas,Karang,Kerang	West Chadic
and	Ansus	Halmahera-Cenderawasih
ane	Xârâcùù	New Caledonian
anf	Animere	Ka-Togo
ang	Old English	West Germanic
anh	Nend,Nent,Angaua	Madang
ani	Andi	Avaro-Andian
anj	Anor	Papuan
ank	Goemai	West Chadic
anl	Anu,Khaungtso,Anu-Hkongso,Anu-Hkongso Chin	Mruic
anm	Anal,Anaal,Namfau	Kukish
ann	Obolo	Lower Cross River
ano	Andoque	isolate
anp	Angika	Eastern Indo-Aryan
anq	Jarawa	Ongan
anr	Andh	Southern Indo-Aryan
ans	Anserma	Chocoan
ant	Antakarinya	Southwest Pama-Nyungan
anu	Anuak	Northern Luo
anv	Denya	Mamfe
anw	Anaang,Anang,Annang,Western Ibibio	Ibibio-Efik
anx	Andra-Hus	Admiralty Islands
any	Anyi	Central Tano
anz	Anem	Papuan
aoa	Angolar	creole or pidgin
aob	Abom	Trans-New Guinea
aoc	Pemon,Arekuna,Arecuna	Cariban
aod	Andarum	Papuan
aoe	Angal Enen	Engan
aof	Bragat	Torricelli
aog	Angoram,Pondo,Kanda,Maramba	Lower Sepik
aoi	Anindilyakwa	Arnhem
aoj	Mufian	Torricelli
aok	Arhö	New Caledonian
aol	Alor	Malayo-Polynesian
aom	Ömie	Trans-New Guinea
aon	Bumbita Arapesh	Torricelli
aor	Aore	North-Central Vanuatu
aos	Taikat	Border
aot	Atong (India)	Bodo-Garo
aou	A'ou,Ayo,A'ou Gelao	Gelao
aox	Atorada	Arawakan
aoz	Uab Meto	Timoric
apb	Sa'a,South Malaita,Apae'aa	Southeast Solomonic
apc	North Levantine Arabic	Arabic
apd	Sudanese Arabic	Arabic
ape	Bukiyip	Torricelli
apf	Pahanan Agta	Philippine
apg	Ampanang	Malayo-Polynesian
aph	Athpare,Athpariya	Eastern Kiranti
api	Apiaká	Tupi-Guarani
apj	Jicarilla	Apachean
apk	Plains Apache	Apachean
apl	Lipan	Apachean
apm	Chiricahua,Mescalero,Mescalero-Chiricahua Apache	Apachean
apn	Apinayé	Northern Jê
apo	Ambul	Western Oceanic
app	Apma	North-Central Vanuatu
apq	A-Pucikwar,Pucikwar,Puchikwar,Aka-Pucikwar,Pujjukar,Bójigiáb,Bojigiab,Bojigyab	Central Great Andamanese
apr	Arop-Lokep	Western Oceanic
aps	Arop-Sissano	Western Oceanic
apt	Apatani,Apa Tani,Tanii	Tani
apu	Apurinã	Arawakan
apv	Alapmunte	Nambikwaran
apw	Western Apache	Apachean
apx	Aputai	Timoric
apy	Apalaí	Cariban
apz	Safeyoka	Trans-New Guinea
aqc	Archi	Lezghian
aqd	Ampari Dogon	West Dogon
aqg	Arigidi	Volta-Niger
aqm	Atohwaim	Trans-New Guinea
aqn	Northern Alta	Philippine
aqp	Atakapa,Akokisa,Orcoquiza,Eastern Atakapa,Western Atakapa	isolate
aqr	Arhâ	New Caledonian
aqt	Angaité	Mascoian
aqz	Akuntsu	Tupian
arc	Aramaic	Aramaic
ard	Arabana	Karnic
are	Western Arrernte	Pama-Nyungan
arh	Arhuaco,Ika	Chibchan
ari	Arikara	Caddoan
arj	Arapaso	Tucanoan
ark	Arikapú	Macro-Jê
arl	Arabela	Zaparoan
arn	Mapudungun,Mapuche,Mapudungün,Mapuzugün,Mapudungu,Araucanian	Araucanian
aro	Araona	Tacanan
arp	Arapaho	Arapahoan
arq	Algerian Arabic	Arabic
arr	Arara-Karo,Karo,Karo (Brazil),Ramarama,Itanga,Itogapuc,Itogapúk,Ntogapid,Ntogapig,Arára,Arára de Rondonia,Arára do Jiparaná,Uruku,Urukú	Tupian
ars	Najdi Arabic	Arabic
aru	Arua	Arauan
arv	Arbore	Cushitic
arw	Arawak,Arowak,Lokono	Ta-Arawakan
arx	Aruá	Tupian
ary	Moroccan Arabic	Arabic
arz	Egyptian Arabic	Arabic
asa	Pare,Asu,Asu (Tanzania),Chasu,Kipare,Southern Pare,South Pare	Pare
asb	Assiniboine	Dakotan
asc	Casuarina Coast Asmat	Trans-New Guinea
ase	American Sign Language	sign
asf	Auslan	sign
asg	Cishingini	Kambari
ash	Abishira,Tequiraca,Tekiráka,Avishiri,Auishiri,Agouisiri,Avirxiri,Abiquira,Abigira,Aiwa,Aewa	isolate
asi	Buruwai	Trans-New Guinea
asj	Nsari	Eastern Beboid
ask	Ashkun	Southern Nuristani
asl	Asilulu	Central Maluku
asn	Xingú Asuriní	Tupi-Guarani
aso	Dano	Kainantu-Goroka
asp	Algerian Sign Language	sign
asq	Austrian Sign Language	sign
asr	Asuri	Munda
ass	Ipulo	Central Tivoid
ast	Asturian	West Iberian
asu	Tocantins Asurini,Asurini,Asuriní,Asuriní of Tocantins,Asuriní do Tocantins,Akwawa,Akwáwa	Tupi-Guarani
asv	Asoa	Mangbetu
asw	Australian Aboriginal Sign Language	sign
asx	Muratayak	Finisterre
asy	Yaosakor Asmat	Trans-New Guinea
asz	As	Halmahera-Cenderawasih
ata	Pele-Ata,Ata,Wasi	Papuan
atb	Zaiwa	Burmish
atc	Atsahuaca	Panoan
atd	Ata Manobo	Manobo
ate	Atemble	Madang
atg	Okpela,Ivbie North,Arhe,Ivbie North-Okpela-Arhe	Yekhee
ati	Attié	Lagoon
atj	Atikamekw	Algonquian
atk	Ati	Philippine
atl	Mount Iraya Agta	Philippine
atm	Ata	Philippine
ato	Atong (Cameroon)	Southwest Grassfields
atp	Pudtol Atta	Philippine
atq	Aralle-Tabulahan	South Sulawesi
atr	Waimiri-Atroari	Cariban
ats	Gros Ventre,Atsina	Arapahoan
att	Pamplona Atta	Philippine
atu	Reel	Dinka-Nuer
atv	Northern Altai,Northern Altay,Altai,Altay	Siberian Turkic
atw	Atsugewi	Palaihnihan
atx	Arutani	
aty	Aneityum	Oceanic
atz	Arta	Philippine
aua	Asumboa	Oceanic
aub	Alugu	Loloish
auc	Huaorani,Waorani,Sabela,Wao,Huao,Aushiri,Ssabela,Wao Terero,Auka,Auca	isolate
aud	Anuta	Nuclear Polynesian
aug	Aguna	Gbe
auh	Aushi	Sabi
aui	Anuki	Western Oceanic
auj	Awjila	Berber
auk	Heyo	Torricelli
aul	Aulua	North-Central Vanuatu
aum	Asu,Abewa,Asu (Nigeria)	Nupe-Gbagyi
aun	Molmo One	Torricelli
auo	Auyokawa	West Chadic
aup	Makayam,Tirio,Makaeyam,Aturu,Atura,Adulu	Trans-New Guinea
auq	Anus,A,Korur,Korurnus	Western Oceanic
aur	Aruek	Torricelli
aut	Austral	Eastern Polynesian
auu	Auye	Trans-New Guinea
auw	Awyi	Border
aux	Aurá	Tupi-Guarani
auy	Auyana	Kainantu-Goroka
auz	Uzbeki Arabic	Arabic
avb	Avau	Western Oceanic
avd	Alviri-Vidari,Alviri,Vidari	Median
avi	Avikam	Lagoon
avk	Kotava	constructed
avm	Angkamuthi	Paman
avn	Avatime	Ka-Togo
avo	Agavotaguerra	Arawakan
avs	Aushiri	Zaparoan
avt	Au	Torricelli
avu	Avokaya	Moru-Madi
avv	Avá-Canoeiro,Avá,Canoe	Tupi-Guarani
awa	Awadhi	Eastern Hindi
awb	Awa (New Guinea)	Kainantu-Goroka
awc	Cicipu	Kambari
awe	Awetí	Tupian
awg	Anguthimri,Alngith,Leningitij,Mpakwithi	Pama-Nyungan
awh	Awbono	Trans-New Guinea
awi	Aekyom,Awin	Trans-New Guinea
awk	Awabakal	Pama-Nyungan
awm	Arawum	Madang
awn	Awngi	Cushitic
awo	Awak	Waja-Kam
awr	Awera	Lakes Plain
aws	South Awyu	Trans-New Guinea
awt	Araweté	Tupi-Guarani
awu	Central Awyu	Trans-New Guinea
awv	Jair Awyu	Trans-New Guinea
aww	Awun	Sepik
awx	Awara	Finisterre
awy	Edera Awyu	Trans-New Guinea
axb	Abipon,Abipón,Callaga,Kalyaga	Guaicuruan
axe	Ayerrerenge	Pama-Nyungan
axg	Mato Grosso Arára	
axk	Aka (Central Africa),Yaka,Yaka (Central African Republic),Aka,Beka	Ngondi-Ngiri
axl	Lower Southern Aranda,Lower Southern Arrernte,Southern Arrernte,Southern Aranda	Pama-Nyungan
axm	Middle Armenian	Armenian
axx	Xaragure	New Caledonian
aya	Awar	Papuan
ayb	Ayizo	Phla–Pherá
ayd	Ayabadhu	Paman
aye	Ayere	Ayere-Ahan
ayg	Nyanga (Togo)	Guang
ayi	Leyigha	East-West Upper Cross River
ayk	Akuku	Northwestern Edoid
ayl	Libyan Arabic	Arabic
ayn	Yemeni Arabic	Arabic
ayo	Ayoreo,Morotoco,Moro,Ayoweo,Ayoré,Pyeta Yovai	Zamucoan
ayp	North Mesopotamian Arabic	Arabic
ayq	Ayi	Sepik
ays	Sorsogon Ayta	Philippine
ayt	Bataan Ayta,Magbukun Ayta,Mariveleño	Philippine
ayu	Ayu	Atlantic-Congo
ayy	Tayabas Ayta	Philippine
ayz	Maybrat,Mai Brat,Ajamaru,Ayamaru	West Papuan
aza	Azha	Loloish
azd	Eastern Durango Nahuatl	Nahuan
azg	San Pedro Amuzgos Amuzgo,Upper Eastern Amuzgo,Oaxaca Amuzgo	Oto-Manguean
azm	Ipalapa Amuzgo,Lower Eastern Amuzgo	Oto-Manguean
azn	Western Durango Nahuatl	Nahuan
azo	Awing	Ngemba
azt	Faire Atta	Philippine
azz	Highland Puebla Nahuatl	Nahuan
baa	Babatana	Western Oceanic
bab	Bainouk-Gunyuño	Banyum
bac	Badui	Malayo-Sumbawan
bae	Baré	Arawakan
baf	Nubaca,Nu Baca,Baca	Yambasa
bag	Tuki	Mbam
bah	Bahamian Creole	creole or pidgin
baj	Barakai	Central-Eastern Malayo-Polynesian
bal	Baluchi,Balochi,Southern Baluchi,Southern Balochi,Eastern Baluchi,Eastern Balochi,Western Baluchi,Western Balochi	Northwestern Iranian
ban	Balinese	Malayo-Chamic
bao	Waimaha	Tucanoan
bap	Bantawa	Central Kiranti
bar	Bavarian	West Germanic
bas	Basaa	Basaa
bau	Badanchi,Bada,Bada (Nigeria)	Jarawa
bav	Babungo,Vengo	Northern Ring
baw	Bambili-Bambui	Ngemba
bax	Bamum	Nun
bay	Batuley	Malayo-Polynesian
bba	Baatonum	Savanna
bbb	Barai	Trans-New Guinea
bbc	Toba Batak	Batak
bbd	Bau	Madang
bbe	Bangba	Eastern Ngbaka
bbf	Baibai	Papuan
bbg	Barama	Sira
bbh	Bugan	Pakanic
bbi	Barombi	Basaa
bbj	Ghomala',Ghomálá',Bamileke-Banjun	Bamileke
bbk	Babanki,Kejom,Kidzem	Central Ring
bbl	Bats,Batsbi,Tsova-Tush	Nakh
bbm	Babango,Bango,Mobango,Ebango	Bati-Angba
bbn	Uneapa	Western Oceanic
bbo	Konabéré,Bobo Fing,Black Bobo,Northern Bobo Madaré,Bobo,Jèrè,Kukoma,Kure,Sankuma,Tankri,Yaba	Soninke-Bobo
bbp	West Central Banda	Banda
bbq	Bamali	Nun
bbr	Girawa	Madang
bbs	Bakpinka	Upper Cross River
bbt	Mburku	West Chadic
bbu	Bakulung,Kulung,Kulung (Nigeria)	Jarawan
bbv	Karnai	Western Oceanic
bbw	Baba	Nun
bbx	Bubia	Southern Bantoid
bby	Befang	Southern Bantoid
bca	Central Bai,Jianchuan Bai	Greater Bai
bcb	Bainouk-Samik	Banyum
bcd	North Babar	Timoric
bce	Bamenyam	Nun
bcf	Bamu	Kiwaian
bcg	Baga Pokur,Baga Binari,Baga Mboteni	Nalu
bch	Bariai	Western Oceanic
bci	Baoule	Central Tano
bcj	Bardi	Nyulnyulan
bck	Bunaba	Bunuban
bcl	Bikol Central	Philippine
bcm	Banoni,Bannoni,Tsunari	Western Oceanic
bcn	Bibaali,Bali,Bali (Nigeria),Abaali	Mumuye-Yendang
bco	Kaluli	Trans-New Guinea
bcp	Bali,Bali (Congo),Bali (Democratic Republic of the Congo),Baali,Kibali,Libaali	Komo-Bira
bcq	Bench	Omotic
bcr	Babine-Witsuwit'en,Babine,Witsuwit'en,Northern Carrier,Western Carrier,Nadot’en-Wets’uwet’en	North Athabaskan
bcs	Kohumono	North-South Upper Cross River
bct	Bendi	Mangbutu-Lese
bcu	Biliau,Awad Bing	Western Oceanic
bcv	Shoo-Minda-Nye,Shoo,Minda,Nye	Jukunoid
